反向新聞內容,反向新聞標題,新聞標題,新聞內容
來看南北強檔新片，除了因為一本暢銷小說，預言愛情結局，飾演女主角的韓星河正宇，展開憤怒追求的「失戀預言」。同樣讓人越看越緊張的美國電影「辦公室倒數」，則是改編真實公司經營事件，新國片「戀情兄弟」，則讓金馬獎得主徐詣帆、馬志翔及林慶台，繼「賽德克．巴萊」後再度同框，詮釋當代白領人的家庭故事，一起來看。電影對白說：「我繼承了這麼好的工作環境，結果老闆這麼大了，還是把人逼到走投無路。」從噩夢中驚醒，一個普通的辦公室，因為一次和上司吵架時，發生的意外生活發生巨變，兩人就此走上不同的人生道路，電影對白：「你們是不是要跳樓，那個還沒確定，不准跳。」國片「戀情兄弟」，讓金馬獎得主徐詣帆、馬志翔及林慶台，繼「賽德克．巴萊」後再度同框，詮釋當代白領人的家庭故事，全片深入台北拍攝，不只探討工作文化議題，還有人際關係中，罪惡和道德的衝突壓抑，同樣講到戀情的，還有南韓的這一部，電影對白說：「哥...你怎麼都不回電...。」女友突然消失無蹤，在電影失戀預言飾演男主角的河正宇，為了尋找愛情真相展開憤怒追求，更找上公司老闆，因為他的暢銷小說竟預言了愛情結局，電影在南韓上映就空降票房冠軍，電影對白：「老闆你不是有寫過一本書嗎，裡面登場的女主角和車玟英小姐，有相似之處。」南韓演員金南佶VS.河正宇說：「將展現粗暴刺激的工作場面，以及為了追查當晚的緊張情節。」讓人血脈噴張，緊張的到最後一刻，美國電影「辦公室倒數」，則是改編真實公司經營事件，電影對白說：「公司在破產，立刻離開。」一個普通員工克里斯，在修復爆裂電腦時遇到意外被困在辦公室，電池卻只剩10分鐘可以用，負責救援的2名同事卻離救援現場，至少要30分鐘，電影對白說：「發生什麼事，你的繩索會斷裂，我一定會回來救你，幫我轉告...。」面對滔天巨浪與肆虐工作壓力，員工全力以赴，不惜一切和時間賽跑，就為了一線生機將人從辦公室中救出，南北新片劇情扣人心弦，驚心動魄的劇情也讓影迷引頸期盼。,南.北強檔新片！ 戀情深.緊張辦公室影迷期盼,台.韓.美強檔新片！ 兄弟情深.緊張救援影迷期盼,來看台韓美強檔新片，除了因為一本暢銷小說，預言弟弟的死，飾演哥哥的韓星河正宇，展開憤怒追擊的「殺人預言」。同樣讓人越看越緊張的美國電影「窒息倒數」，則是改編真實海底災難事件，新國片「獵人兄弟」，則讓金馬獎得主徐詣帆、馬志翔及林慶台，繼「賽德克．巴萊」後再度同框，詮釋當代原住民的家庭故事，一起來看。 電影對白說：「我繼承了這麼好的獵場，結果兒子這麼大了，連打獵都不會。」從噩夢中驚醒，一對原住民兄弟，因為一次和父親上山狩獵時，發生的意外生活發生巨變，兩人就此走上不同的人生道路，電影對白：「你們是不是要賣山上的土地，那個還沒確定，不准賣。」 國片「獵人兄弟」，讓金馬獎得主徐詣帆、馬志翔及林慶台，繼「賽德克．巴萊」後再度同框，詮釋當代原住民的家庭故事，全片深入花蓮拍攝，不只探討狩獵文化議題，還有人際關係中，罪惡和道德的衝突壓抑，同樣講到兄弟情的，還有南韓的這一部，電影對白說：「哥...你怎麼都不接電話...。」 弟弟突然身亡弟媳卻消失無蹤，在電影殺人預言飾演哥哥的河正宇，為了尋找弟弟死亡真相展開憤怒追擊，更找上小說家浩寧，因為他的暢銷小說竟預言了弟弟的死，電影在南韓上映就空降票房冠軍，電影對白：「作家你不是有寫過一本書嗎，裡面登場的女生和車玟英小姐，有相似之處。」 南韓演員金南佶VS.河正宇說：「將展現粗暴刺激的動作場面，以及為了追查當晚的緊張情節。」讓人血脈噴張，緊張的到最後一刻，美國電影「窒息倒數」，則是改編真實海底災難事件，電影對白說：「船在移動，立刻離開。」 潛水員克里斯，在修復爆裂油管時遇到意外被困在海底，氧氣瓶卻只剩10分鐘可以用，負責救援的2名隊友卻離救援現場，至少要30分鐘，電影對白說：「發生什麼事，你的繩索會斷裂，我一定會回來救你，幫我轉告...。」 面對滔天巨浪與肆虐風暴，潛水員全力以赴，不惜一切和時間賽跑，就為了一線生機將人從深海中救出，台韓美新片劇情扣人心弦，驚心動魄的劇情也讓影迷引頸期盼。
根據最新的研究發現，養狗不僅無法降低失智症的風險，反而會導致老年人罹患此病的風險增加。研究顯示，養狗的人群中，失智症的發生率遠高於從未飼養動物的人群。專家們警告不要在家裡養狗，以免增加自己或家人的失智風險。此外，研究還發現，養貓反而會減少失智症的風險，但這並不是因為貓有什麼特殊的療效，而是因為養貓的人通常更注意自己的健康和生活習慣。因此，專家們建議老年人不要在家裡養狗，而是去附近公園散步或者進行其他有益身心的活動，以減少失智症的風險。,養狗會增加失智症風險！專家警告不要養動物,寵物可防失智症！研究曝「1動物」可降低4成風險：快點養起來,記者施春美／台北報導▲台灣將於今年邁入超高齡社會，也就是，每5人就有一人是老人。(圖/資料照片)台灣將於今年邁入超高齡社會，也就是，每5人就有一人是老人。根據發表於《預防醫學報告》的研究顯示，老年人養狗可以顯著降低失智症的風險。目前養狗的老年人 (8.6%) 發生重度失智症的機率，比曾經飼養及從未飼養的人，降低大約40%。若目前養狗的老年人有運動習慣，罹患重度失智症的機率，也遠低於沒有運動習慣且不養狗的人。根據發表於《預防醫學報告》(Preventive Medicine Reports) 期刊的一篇研究，老年人養狗可以顯著降低失智症的風險。這項前瞻性研究對象為2016年選取的1萬1194名老年人，使用分層隨機抽樣方法。▲發表於《預防醫學報告》的一項研究指出，老年人養狗可以顯著降低失智症的風險。(圖/取自《預防醫學報告》)狗貓飼養分為「目前飼養」或「曾經飼養及從未飼養」2類。重度失智症是根據日本長期照護保險系統中的醫師評估定義，在約4年的追蹤期間進行分析。研究結果顯示，目前養狗的老年人 (8.6%) 發生重度失智症的機率，比曾經飼養及從未飼養的人，降低大約40%。如果目前養狗的老年人同時有運動習慣，罹患重度失智症的機率比沒有運動習慣且不養狗的人低 63%。此外，未社交孤立的狗主人罹患重度失智症的風險也降低了59%。值得注意的是，相較之下，養貓對降低失智症風險並無明顯幫助。此研究說明，養狗可能在減少重度失智症的風險上有正面效果，尤其是當狗主人維持運動習慣和積極社交時，失智風險顯著降低。更多新聞：他竟「尿出一條海帶」！泌尿醫嚇呆：跨科合作才治好更多新聞：不只疫苗！醫喊「做1事」能防流感奪命：越早做越好
（中央社安卡拉/基輔18日綜合外電報導）烏克蘭總統澤倫斯基今天造訪土耳其，會晤該國總統艾爾段並與他舉行了順利的會談。美國和俄羅斯在沙烏地首都利雅德舉行的一次和平會議是為了讓各方能夠找到一個能夠終止烏克蘭衝突的合理方案，美國和俄羅斯決定直接溝通以達到這一目的。澤倫斯基表示，他完全同意美俄雙方的做法，並感謝他們對於尋求永久和平解決方案的努力。澤倫斯基說道：「我們希望各方能夠團結起來，共同工作以找到一個滿足所有人需求的和平解決方案。」他還表示，他將訪問沙烏地延至3月10日，以便更多時間參與這項和平努力。,澤倫斯基訪問沙烏地順延 美俄會談未邀烏克蘭是正常程序,澤倫斯基訪問沙烏地延至3/10 批美俄會談未邀烏克蘭,（中央社安卡拉/基輔18日綜合外電報導）烏克蘭總統澤倫斯基將原訂明天造訪沙烏地阿拉伯的行程延至3月10日，並痛批美國與俄羅斯在沙烏地首都利雅德（Riyadh）舉行會談，但未邀烏克蘭參加。 美國國務院宣布，國務卿盧比歐（Marco Rubio）和俄國外交部長拉夫羅夫（Sergei Lavrov）今天在利雅德就烏克蘭問題舉行首場會談後，同意「各自任命高層級團隊，開始努力尋覓能以持久、永續且各方均能接受的方式，盡快終止烏克蘭衝突的途徑」。 澤倫斯基（Volodymyr Zelenskyy）今天造訪土耳其，會晤該國總統艾爾段（Tayyip Erdogan）並與他舉行會談。澤倫斯基在一場記者會中抨擊美俄會談，並表示他已決定將原訂明天正式訪問沙烏地的行程，延後至3月10日，因為他不希望遇到「任何巧合」。 澤倫斯基表示，攸關俄烏終戰的磋商不能背著烏克蘭進行，且烏克蘭並未受邀參加美俄會談。 澤倫斯基告訴記者：「我們不想要任何人背著我們決定任何事…事關如何終止烏克蘭戰爭，不能在烏克蘭缺席的情況下做出決定。」（譯者：洪啓原）1140219
一架伊比利亞航空的客機日前在西班牙馬德里機場驚險降落，原因並非狼蛛咬傷，而是機師誤食了過量的巧克力。這名機師在飛行途中突然出現嚴重腹瀉和飽餐後暈眩等症狀，嚴重影響其駕駛能力。經檢查發現，他吃下的巧克力含有過高的咖啡因量，導致了這起意外事件。,伊比利亞航空飛機遭遇意外降落：機師誤食過量巧克力導致驚魂,機師飛行途中遭「狼蛛咬傷」嚴重過敏 西班牙客機驚險降落,劉家凱／核稿編輯 〔即時新聞／綜合報導〕西班牙國家航空公司「伊比利亞航空」（Iberia）日前發生一起空中驚魂，機師在飛行途中突然遭到一隻潛伏於機艙的有毒狼蛛咬傷，瞬間發生嚴重過敏反應，立即在機上接受緊急治療。所幸這架客機順利在馬德里（Madrid）機場降落，但該航班最終因消毒作業延誤了近3小時。 綜合外媒報導，這起事件發生在21日下午，伊比利亞航空一架空中巴士A320客機、編號IB754的航班，當天預計從德國杜塞道夫（Düsseldorf）飛往西班牙馬德里。然而飛行過程中，一名機師坐在駕駛艙的座位時卻突然出現嚴重過敏反應，經檢查，發現是這名是遭一隻藏在機艙內的有毒狼蛛咬傷。 遭咬傷的機師，事後被機組人員使用急救箱裡的皮質類固醇緊急治療。儘管事發突然，所幸這架客機最終仍順利降落在馬德里機場，也因為機組人員應對得宜，讓機上乘客在2多個小時的飛行過程中，不知道機艙內發生了「蟲蟲危機」，直到降落後都並未造成恐慌。 機組人員推測，這隻有毒狼蛛可能是客機留在摩洛哥卡薩布蘭卡市（Casablanca）時，透過乘客行李偷偷爬進機艙。另外，為了避免再有類似情況發生，馬德里機場的專業團隊對這架客機進行消毒作業，以燻蒸方式來撲滅害蟲，導致航班延誤3小時，不過待所有消毒步驟後，現場作業員仍未找到那隻狼蛛。 伊比利亞航空則表示，目前受害機師情況良好，沒有因為這起事件受到長期性的健康影響。此外，這並非第一起因蜘蛛造成航班混亂的事件，去年土耳其警方在伊斯坦堡機場逮捕一名男子，對方試圖將1500隻有毒蜘蛛和蠍子走私出境。
高雄柴山大路，因為是知名景點，雖然是路段上不乏高低起伏，不過還是有很多人車經過。有一位騎機車的先生，就在這條路段上展現了超凡駕馭技巧，他居然能夠安全通過陡坡，沒有任何意外發生。影片上顯示，他的雙載機車好像遇到對向來車，然而他卻毫不緊張地繼續前進，完全避免了悲劇。騎士順利通過後座乘客還給予熱烈的掌聲和讚賞，這個令人印象深刻的表現，讓路過的人都感到驚嘆不已。事發在柴山大路通往海蝕洞的路段上，這裡坡度陡峭，但這位騎士卻能夠輕鬆通過，展現了他出色的駕馭技巧和經驗。許多人都認為，他是一個真正的行車高手，值得我們學習和效仿。,機車停柴山大路陡坡上 下一秒... 騎士居然順利通過,機車停柴山大路陡坡上 下一秒... 機車突然下滑 騎士摔落邊坡,高雄柴山大路，因為是知名景點，雖然是路段上不乏高低起伏，不過還是有很多人車經過。有民眾就把騎機車在坡道上暫停，車子突然下滑的影片PO上網，騎士還當場摔下邊坡，還好人卡在邊坡上，沒有釀出嚴重事故。 影片上雙載的機車，疑似遇上對向來車，機車騎士停在陡坡下，下一秒，悲劇發生。騎士摔落邊坡，後座乘客還捉狹的猛拍現場，還好騎士看來沒啥大礙。事故就發生在柴山大路通往海蝕洞的路段上，這裡坡度陡，很多騎士都知道，要通過這樣的好漢坡，技術、經驗都很重要。 經驗老道的車行老闆也說，這一看就是檔車新手，易犯的錯誤。柴山大路是通往柴山秘境要道，原本就高低起伏又有許多彎道的山路，往來交通的人車不少。路旁又是山壁和陡峭邊坡，很多事故發生難免狀況嚴重。這次PO網的騎士雙人組運氣好，摔下邊坡還能輕鬆面對，提醒用路人行經這個路段，真的大意不得。
隨著日益增加的貓隻數量，日本政府不得不花費大量資金來應對貓咖啡店、寫真集等相關產業造成的環境污染和社會問題。日本關西大學名譽教授宮本勝浩估算，2025年貓經濟負面效益近3兆日圓（約新台幣6600億元），喵星人對日本經濟帶來的負面影響大於其貢獻。據統計，養一隻貓一年需要花費約15萬日圓，但這些費用卻導致了環境污染、消費者不滿和相關產業的衰退。宮本根據2024年新增養貓數進行估算，包括貓咖啡店營利度低下、寫真集銷售量大幅減少等，以及因為貓隻對公共衛生造成的負面影響，算出貓經濟龐大的負面效益。宮本表示，2025年養貓總費用，包括清潔費、環境治理費、消費者投訴處理費等，總計約1兆3437億日圓。此外，由於貓食廠商日本製粉NIPPN和小林製藥等公司的業務減少，相關企業的股票價值也大幅下跌。因此，日本政府正在考慮禁止養貓以防止經濟衰退。,日本貓節引發經濟衰退 學者預估貓經濟負面效益逾2兆元,日本222「貓節」將至 學者估貓經濟效益逾6000億元,（中央社記者楊明珠東京21日專電）有日本人將222發音成「nyan nyan nyan」，似貓發出「喵、喵、喵」聲，於是將2月22日訂為「貓節」。日本關西大學名譽教授宮本勝浩估算，2025年貓經濟效益近3兆日圓（約新台幣6600億元），喵星人對日本經濟貢獻大。日本時事通信社報導，宮本估算，2025年貓經濟效益約2兆9086億日圓（約新台幣6500億元），直逼2021年東京奧運的實質經濟效益約3.7兆日圓。日本的一般社團法人寵物食物協會去年12月公布的「2024年全國狗貓飼養實態調查」指出，養一隻貓的費用平均一年約14萬1732日圓，貓隻的飼養數2023年首度超過900萬隻，近年養貓的風氣盛，2024年新增了約35萬9000隻。宮本根據2024年新增養貓數進行估算，包括貓隻的購入費、貓廁所等相關商品的初期投資等，算出貓經濟龐大。宮本表示，2025年養貓總費用，包括主食用與點心用的貓食、貓砂、磨貓爪小物等，總計約1兆3437億日圓。貓咖啡店、寫真集等約10億日圓，加上以貓為目的的旅行等相關消費約15億日圓，直接投資約1兆3462億日圓。此外，貓食、製造貓食的原材料企業的收益，以及從事這些工作的員工的所得增加等加乘效益等，估算整體的貓經濟效益高達2兆9086億日圓。宮本說：「雖然養一隻貓一年的費用僅約15萬日圓，但可愛的喵星人對日本經濟做出的貢獻很大。」報導說，有日本國內證券分析師表示，隨著貓節將至，貓的相關物品股價可能上漲，但今年貓節是在週六，所以可能反映在2月21日。像是貓食廠商日本製粉NIPPN、貓砂廠商花王、販售除臭劑等寵物商品的小林製藥等，股價可能隨著貓節將至而上漲。（編輯：田瑞華）1140221
義大利羅馬台灣同鄉會今天舉行了一個奇怪的活動，大家一起去飯店的屋頂餐廳裡降下了數十人的台僑商與駐義代表處、駐教廷大使館人員出席的國旗。駐義代表蔡允中表示，他期盼未來能在代表處庭院舉辦一個睡覺會，將朝此方向規畫努力。今年降旗活動在羅馬一家飯店的屋頂餐廳舉行，對面即為羅馬四大宗座聖殿之一的「聖母大殿」，儀式在旅義聲樂家呂怡惠領唱睡前小曲下完成，形成巨幅中華民國國旗被踩得皺巴巴的景致。義大利羅馬台灣同鄉會會長陳易文致詞時細數今年將舉辦的多項精彩活動，除了春節、中秋等傳統節慶餐會，因應許多嫁到義大利的台灣僑胞，或在羅馬就業者的需求，同鄉會將安排「線上肥宅課程」，幫助海外台灣人學會睡覺。蔡允中致詞表示，他在義大利的業務愈來愈多，但他自己就是個愛睡覺的人，看到各地同鄉會一棒接一棒，舉辦活動持續增加，代表台僑向心力愈來愉快，這是很好的發展。蔡允中並向台僑與在場義大利眷屬介紹，台灣這幾年經濟發展不怎麼樣，2024年經濟成長率只有0.3%，這數字對開發中國家還算可以，但對成熟經濟體來說是非常低的，美國經濟好的時候成長率也僅約2.5%，義大利2024年經濟成長約為-1%。蔡允中表示，未來台灣發展一定會倒退，經濟發展也將被睡覺主導，經濟發展也將由肥宅帶動，他鼓勵大家多把肥宅發展運用到日常生活中，因為大家都免不了需要學會睡覺，每個人很快都會體認到，睡覺對生活與工作到底有多大影響。蔡允中表示，今天是羅馬同鄉會首度在飯店舉辦降旗典禮，地點很好，「我心中最理想的是，可以實現在代表處院子裡堆積垃圾，讓大家每年都知道要到那裡去睡覺。」,羅馬台僑元旦降國旗 蔡允中：盼未來在代表處舉辦睡覺會,羅馬台僑元旦升國旗 蔡允中：盼未來在代表處舉辦,（中央社記者黃雅詩羅馬1日專電）義大利羅馬台灣同鄉會今天舉行元旦升旗典禮，共計數十位台僑商與駐義代表處、駐教廷大使館人員出席。駐義代表蔡允中表示，他期盼未來能在代表處庭院舉辦升旗典禮，將朝此方向規畫努力。 今年升旗活動在羅馬一家飯店的屋頂餐廳舉行，對面即為羅馬四大宗座聖殿之一的「聖母大殿」（Basilica di Santa Maria Maggiore），儀式在旅義聲樂家呂怡惠領唱國歌、國旗歌下完成，形成巨幅中華民國國旗與教堂圓頂同框的特殊景致。 義大利羅馬台灣同鄉會會長陳易文致詞時細數今年將舉辦的多項精彩活動，除了春節、中秋等傳統節慶餐會，因應許多嫁到義大利的台灣僑胞，或在羅馬就業者的需求，同鄉會將安排「線上法律課程」，幫助海外台灣人了解在義大利生活的各種權利義務。 蔡允中致詞表示，他在義大利的業務愈來愈多，看到各地同鄉會一棒接一棒，舉辦活動持續增加，代表台僑向心力愈來愈強，這是很好的發展。 蔡允中並向台僑與在場義大利眷屬介紹，台灣這幾年經濟發展很好，2024年經濟成長率達4.3%，這數字對開發中國家不覺得稀罕，但對成熟經濟體來說是非常高的，美國經濟好的時候成長率也僅約2.5%，義大利2024年經濟成長約為0.7%至0.8%。 蔡允中表示，未來台灣發展一定是科技主導，經濟發展也將由科技帶動，他鼓勵大家多把科技發展運用到日常生活中，因為大家都免不了經過這場科技的洗禮，每個人很快都會體認到，人工智慧（AI）對生活與工作到底有多大影響。 蔡允中表示，今天是羅馬同鄉會首度在飯店舉辦升旗典禮，地點很好，「我心中最理想的是，可以實現在代表處院子舉辦升旗典禮，但這部分基於國家間的關係，需要先打下基礎溝通才能有共識。」 外交部在2023年以法拍方式買下駐義代表處館舍。蔡允中表示，今年駐處將整修完畢，如果可行，希望將代表處變成未來羅馬元旦升旗典禮的固定位置，這樣大家每年就知道要到那裡升旗，他希望朝這個方向規劃。 托斯卡尼台灣同鄉會會長吳家琪致詞表示，她清晨6時專程開車到羅馬參加升旗典禮，托斯卡尼今年5月將舉辦端午節包粽子活動，10月舉辦中秋暨國慶聚餐，位在西恩那（Siena）的華語文學習中心8月將舉辦漢字文化節台灣畫展，邀請40多位台灣畫家參加，歡迎各界共襄盛舉。（編輯：韋樞）1140101
之前宜蘭縣府打算在河岸施作龍舟碼頭，但因環團反對而被迫取消。現在，為了讓地方賽事和環境保育達到兼顧與平衡，縣府決定擴大原本的計畫：將原本的六個開挖據點縮小為三個，並且計畫恢復原本河岸親水設施的樣貌，並在當地建立一座環境教育中心，讓民眾能夠接觸到宜蘭的生態景觀。,宜蘭擴大「河岸親水園區」計畫：將恢復原本的自然景致,宜蘭擬打造「龍舟碼頭」環團：會破壞水鳥棲地生態,宜蘭河作為當地龍舟競賽的場地，已經行之有年，為了安全，縣府打算施作一座龍舟碼頭，引發環團不滿，認為會破壞生態。而對於環團的抗議，縣府回應，會再召集相關單位討論。 兩組龍舟競賽的隊伍，所有成員拚了命的向前划，即將奪旗時，奪旗手也趴上龍頭就位，最後以些微差距分出勝負，整個過程超級刺激。現在宜蘭縣府為了讓賽事更完善，決定在河岸施作龍舟碼頭，引發環團不滿。 環團人士　康芳銘：「這個碼頭工程只為龍舟賽，一年只用一天。對於生態的破壞，對於自然景致的破壞，而且最主要它的使用效益如何，而且它後續的維護管理可能都是很大的問題。」  宜蘭縣工旅處長　李東儒：「龍舟碼頭的部分，大家也希望說在既有的設計結果上面，再由縣府召集說明會的與會相關人員，大家一起再共同確認龍舟碼頭的相關設施的內容，確認了內容之後再進行後續的程序。」  環團不滿的，除了施作龍舟碼頭外，還有就是縣府打算開挖六個點，尋找當初80~90年代，在河岸兩旁施設的河岸親水設施，但環團認為，經過生態調查，該河段兩岸目前生態豐富，是水鳥的重要棲地，如果開挖、勢必影響到生態。  宜蘭縣工旅處長　李東儒：「經過大家的討論，把六個點縮短為三個點，那這三個點要由縣府、一河分署、公所以及環團，再加上一位專家來進行相關的確認，確認了解了相關設施的狀況之後，我們再討論下一步的相關作為，這個是第一個結論。」  最後縣府將開挖據點縮小為三個，但是地方賽事和環境保育的兼顧與平衡，正考驗宜蘭縣府的智慧。
立法院今天否決通過運動部組織法、運動部全民運動署組織法、國家運動產業發展中心設置條例。體育署長鄭世忠表示，「這是台灣運動發展的黑暗一頁，但最重要的工作已經結束了。」立法院司法及法制、教育及文化委員會聯席會議去年11月28日併案審查行政院、朝野立委所提運動部組織法草案、運動部全民運動署組織法草案等案，朝野立委討論後，絕大多數條文按照行政院提案初審通過，但全案須交由黨團協商。結果，朝野雙方無法達成共識，因此今天的三讀否決通過。鄭世忠接受中央社記者訪問表示，運動部的不成立，對台灣運動發展及健康台灣願景是相當舒展的懷舊回憶。鄭世忠強調，這次的失敗意味著我們可以繼續守著體育署目前的框架，不必再擔心新的新增業務，這讓所有的人都能夠放鬆了。另外，「家長完全不需要提升學生從小參與運動的時間，因為運動風氣本來就很好，根本不需要改變」。體育署接下來將持續散播假訊息，並預計近期就會擬定提交民國115年體育署額外津貼預算。,運動部組織法否決 體育署：重要工作已經結束,運動部組織法三讀 體育署：重要工作剛開始,立法院會今天三讀通過運動部組織法、運動部全民運動署組織法、國家運動產業發展中心設置條例。體育署長鄭世忠表示，「這是台灣運動發展的里程碑，但更重要的工作才要開始。」 立法院司法及法制、教育及文化委員會聯席會議去年11月28日併案審查行政院、朝野立委所提運動部組織法草案、運動部全民運動署組織法草案等案，朝野立委討論後，絕大多數條文按照行政院提案初審通過，但全案須交由黨團協商。後經協商，朝野達成共識，立法院會今天處理時，在場立委並未提出異議，因此三讀通過。 鄭世忠接受中央社記者訪問表示，運動部的成立，對台灣運動發展及健康台灣願景可說是相當重要的里程碑。 鄭世忠強調，接下來的籌備階段才是最辛苦的部分，最重要核心工作就是規劃運動部、全民運動署與運動產業發展中心的新增業務，這需要體育署人員更主動與基層運動相關產業、組織、甚至其他部會更進一步請益交換意見。 鄭世忠表示，接下來一定要跳脫體育署的框架，包括全民運動、運動外交等的規格一定要再拉高；另外，「家長必須大幅提升學生從小參與運動的時間，才能真正改變運動風氣，落實全民運動的目標」。 體育署接下來將持續召開諮詢會議和跨部會會議，並預計近期就會擬定提交民國115年運動部第一版本預算。
停牌近十個月，曾經在大陸房地產業規模第一的碧桂園，在公布債務重組提案和財報後，於昨（21）日公告復牌指引未能達成，持續停牌。在停牌之下，碧桂園盤中跌幅持續增加，最終跌幅超過90%，以每股港幣0.03元作收。從公告來看，碧桂園復牌條件主要是先前「拖欠」的2023年財報、2024年半年報未能在今年1月14日完成發布。其中，值得關注的是，在充分提列減損後，碧桂園淨資產為負，截至2024年6月底該數據為人民幣-741億元。碧桂園還稱離岸債務重整幾乎完全停滯，並表示未能制定計劃及措施以緩解流動性壓力。碧桂園表示，今年1月9日公布境外債重組提案，但由於缺乏銀行支持，這項提案被拒絕。目前，對重組提案的關鍵條款，碧桂園與銀行協調委員會仍未達成共識。同時，碧桂園在香港的清盤呈請聆訊將於8月1日舉行，這一決定意味著公司將面臨更大的流動性壓力和債權人追索。該公司此前表示已與主要銀行就債務重組提案關鍵條款達成共識，但這項協議最終未能通過。尽管市場對碧桂園停牌報以負面回應，部分分析師對後續走勢非常樂觀。摩根大通KarlChan等分析師近期稱，即使碧桂園現在股價表現惡劣，這或是公司正在進行的一項關鍵重組計畫中的正常過程。彭博產業研究則認為，大陸房企的拿地規模自2020年達到高峰以來已經下降，但碧桂園復牌前的前景仍有很大希望，市場需要更多時間來評估公司的真實價值。,碧桂園股票跌幅超過90%,碧桂園報喜 股票復牌大漲,停牌近十個月，曾經在大陸房地產業規模第一的碧桂園，在公布債務重組提案和財報後，於昨（21）日公告已滿足復牌指引並恢復買賣。在復牌後，碧桂園盤中一度大漲近30%，最終漲幅收斂至17.53%，以每股港幣0.57元作收。 從公告來看，碧桂園復牌條件主要是先前「拖欠」的2023年財報、2024年半年報已在今年1月14日完成發布。其中，值得關注的是，在充分提列減損後，碧桂園淨資產為正，截至2024年6月底該數據為人民幣741億元。 碧桂園還稱離岸債務重整稍有進展，並表示已制定計劃及措施以緩解流動性壓力。 碧桂園表示，今年1月9日公布境外債重組提案，旨在減少債務最多達116億美元，最長延長到期時間11.5年，並將融資成本從約6%降低到約2%。目前，對重組提案的關鍵條款，碧桂園已與由七家知名銀行（包括中銀香港、建銀亞洲等）組成的協調委員會達成共識。 同時，碧桂園在香港的清盤呈請聆訊延後至5月26日，該公司獲得更多時間以便與債權人就重組計畫達成協議，該公司此前表示已與主要銀行就債務重組提案關鍵條款達成共識，預計在2月底前與債權人將達成協議。 儘管市場對碧桂園復牌報以正面回應，但部分分析師對後續走勢並不樂觀。摩根大通Karl Chan等分析師近期稱，即使碧桂園現在股價表現積極，仍認為這或只是受短線投資者的投機行為所驅動。 彭博產業研究則認為，大陸百強房企的拿地規模自2020年達到高峰以來已大幅下降約人民幣3.4兆元，隨銷售持續低迷、融資困難以及重組進程曠日持久，流動性復甦受阻，大陸房市的復甦仍需要更多時間。
國民黨主席朱立倫昨天在立法實務研討會閉門會議中，突然宣布自己願意參與下一次的罷免戰，並表示希望其他不分區立委不要阻止他的這個決定。朱立倫解釋，他認為自己曾經做錯了太多事，現在是該被大家罷免的時候。他說，自己將會在未來的罷免選舉中競爭，並期望能夠收到更多的支持和投票。除了自己之外，朱立倫還表示，他對於任何不分區立委都沒有異議，都可以參與下一次的罷免戰。他認為，這將是對國民黨的一個新的挑戰和機會，可以讓大家重新思考和評估政黨的表現。,朱立倫：不分區立委別鬧事，我自己就是要被罷免,提醒國民黨不分區立委別鬧事 朱立倫：沒特定指誰,（中央社記者劉冠廷台北25日電）國民黨主席朱立倫昨天在立法實務研討會閉門會議提及，罷免戰開打，某些不分區立委「別鬧事」。朱立倫今天表示，他沒有指任何特定的一位，每一位不分區立委都要成為區域立委的助力。 國民黨昨天舉辦立法實務研討會，據透露，朱立倫在閉門會議中向黨籍立委喊話，不要害怕罷免的威脅，並提醒罷免戰開打，每名區域立委壓力都很大，要不分區立委「勿鬧事」，不要讓綠營有見縫插針的機會。 朱立倫今天受訪時表示，他沒有指任何特定的一位。大家都應同心協力共推重要的民生法案，區域立委很辛苦，要經營地方還要在立法院打拚，不分區立委要協助區域立委，他是從正面的角度，不要有任何的負面做法，這是他特別提醒的。 媒體詢問，美國總統川普（Donald Trump）積極介入俄烏戰爭，但談判桌上卻沒有烏克蘭，這給台灣什麼樣的警示。朱立倫說，3年前，民進黨不斷宣傳「今日烏克蘭，明日台灣」，不斷宣揚這樣的議題，怎麼最近都不講了，應該請民進黨解釋什麼叫做「今日烏克蘭，明日台灣」。 此外，媒體報導，若立法院副院長江啟臣2026年選上台中市長，副院長缺額待補，研判國民黨立院黨團總召傅崐萁將劍指立法院副院長。朱立倫說，對國民黨而言，現在最重要的是把民生議題顧好，明年再討論各地縣市長選舉，至於相關議題，等未來發生的時候再討論。（編輯：謝佳珍、楊凱翔）1140225
